"","location","date","temp","sun","wind","time","count","search_terms","lon","lat"
"1","College & S 11th Ave","2012-09-11",79,"sunny","calm","5:00-5:15",36,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"2","Kagy & S 3rd Ave","2012-09-11",79,"sunny","calm","5:00-5:15",12,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"3","Kagy & S 7th Ave","2012-09-11",79,"sunny","calm","5:00-5:15",11,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"4","Lamme & N Grand Ave","2012-09-11",79,"sunny","calm","5:00-5:15",12,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"5","Peach & N Rouse Ave","2012-09-11",79,"sunny","calm","5:00-5:15",12,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"6","Garfield & W Main / Huffine","2012-09-11",79,"sunny","calm","5:00-5:15",8,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"7","Durston &  N 15th Ave","2012-09-11",79,"sunny","calm","5:00-5:15",13,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"8","Church & Story (at Galligator trail)","2012-09-11",79,"sunny","calm","5:00-5:15",15,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"9","Grant & S 7th Ave","2012-09-11",79,"sunny","calm","5:00-5:15",31,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"10","Main & W Babcock St (at S 23rd near Albertsons)","2012-09-11",79,"sunny","calm","5:00-5:15",8,"Main & W Babcock St (at S 23rd near Albertsons) bozeman, montana",-111.0652058,45.6768407
"11","Trail crossing & Highland Drive","2012-09-11",79,"sunny","calm","5:00-5:15",4,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"12","MSU Centennial Mall (best vantage point","2012-09-11",79,"sunny","calm","5:00-5:15",60,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"13","College & S 11th Ave","2012-09-11",79,"sunny","calm","5:15-5:30",43,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"14","Kagy & S 3rd Ave","2012-09-11",79,"sunny","calm","5:15-5:30",15,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"15","Kagy & S 7th Ave","2012-09-11",79,"sunny","calm","5:15-5:30",9,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"16","Lamme & N Grand Ave","2012-09-11",79,"sunny","calm","5:15-5:30",4,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"17","Peach & N Rouse Ave","2012-09-11",79,"sunny","calm","5:15-5:30",11,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"18","Garfield & W Main / Huffine","2012-09-11",79,"sunny","calm","5:15-5:30",4,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"19","Durston &  N 15th Ave","2012-09-11",79,"sunny","calm","5:15-5:30",6,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"20","Church & Story (at Galligator trail)","2012-09-11",79,"sunny","calm","5:15-5:30",25,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"21","Grant & S 7th Ave","2012-09-11",79,"sunny","calm","5:15-5:30",41,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"22","Main & W Babcock St (at S 23rd near Albertsons)","2012-09-11",79,"sunny","calm","5:15-5:30",7,"Main & W Babcock St (at S 23rd near Albertsons) bozeman, montana",-111.0652058,45.6768407
"23","Trail crossing & Highland Drive","2012-09-11",79,"sunny","calm","5:15-5:30",2,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"24","MSU Centennial Mall (best vantage point","2012-09-11",79,"sunny","calm","5:15-5:30",40,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"25","College & S 11th Ave","2012-09-11",79,"sunny","calm","5:30-5:45",42,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"26","Kagy & S 3rd Ave","2012-09-11",79,"sunny","calm","5:30-5:45",16,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"27","Kagy & S 7th Ave","2012-09-11",79,"sunny","calm","5:30-5:45",9,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"28","Lamme & N Grand Ave","2012-09-11",79,"sunny","calm","5:30-5:45",3,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"29","Peach & N Rouse Ave","2012-09-11",79,"sunny","calm","5:30-5:45",5,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"30","Garfield & W Main / Huffine","2012-09-11",79,"sunny","calm","5:30-5:45",4,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"31","Durston &  N 15th Ave","2012-09-11",79,"sunny","calm","5:30-5:45",2,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"32","Church & Story (at Galligator trail)","2012-09-11",79,"sunny","calm","5:30-5:45",22,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"33","Grant & S 7th Ave","2012-09-11",79,"sunny","calm","5:30-5:45",28,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"34","Main & W Babcock St (at S 23rd near Albertsons)","2012-09-11",79,"sunny","calm","5:30-5:45",8,"Main & W Babcock St (at S 23rd near Albertsons) bozeman, montana",-111.0652058,45.6768407
"35","Trail crossing & Highland Drive","2012-09-11",79,"sunny","calm","5:30-5:45",2,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"36","MSU Centennial Mall (best vantage point","2012-09-11",79,"sunny","calm","5:30-5:45",66,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"37","College & S 11th Ave","2012-09-11",79,"sunny","calm","5:45-6:00",43,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"38","Kagy & S 3rd Ave","2012-09-11",79,"sunny","calm","5:45-6:00",9,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"39","Kagy & S 7th Ave","2012-09-11",79,"sunny","calm","5:45-6:00",13,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"40","Lamme & N Grand Ave","2012-09-11",79,"sunny","calm","5:45-6:00",6,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"41","Peach & N Rouse Ave","2012-09-11",79,"sunny","calm","5:45-6:00",6,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"42","Garfield & W Main / Huffine","2012-09-11",79,"sunny","calm","5:45-6:00",3,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"43","Durston &  N 15th Ave","2012-09-11",79,"sunny","calm","5:45-6:00",10,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"44","Church & Story (at Galligator trail)","2012-09-11",79,"sunny","calm","5:45-6:00",27,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"45","Grant & S 7th Ave","2012-09-11",79,"sunny","calm","5:45-6:00",42,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"46","Main & W Babcock St (at S 23rd near Albertsons)","2012-09-11",79,"sunny","calm","5:45-6:00",17,"Main & W Babcock St (at S 23rd near Albertsons) bozeman, montana",-111.0652058,45.6768407
"47","Trail crossing & Highland Drive","2012-09-11",79,"sunny","calm","5:45-6:00",6,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"48","MSU Centennial Mall (best vantage point","2012-09-11",79,"sunny","calm","5:45-6:00",74,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"49","College & S 11th Ave","2012-09-11",79,"sunny","calm","6:00-6:15",23,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"50","Kagy & S 3rd Ave","2012-09-11",79,"sunny","calm","6:00-6:15",8,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"51","Kagy & S 7th Ave","2012-09-11",79,"sunny","calm","6:00-6:15",4,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"52","Lamme & N Grand Ave","2012-09-11",79,"sunny","calm","6:00-6:15",7,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"53","Peach & N Rouse Ave","2012-09-11",79,"sunny","calm","6:00-6:15",15,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"54","Garfield & W Main / Huffine","2012-09-11",79,"sunny","calm","6:00-6:15",6,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"55","Durston &  N 15th Ave","2012-09-11",79,"sunny","calm","6:00-6:15",9,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"56","Church & Story (at Galligator trail)","2012-09-11",79,"sunny","calm","6:00-6:15",25,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"57","Grant & S 7th Ave","2012-09-11",79,"sunny","calm","6:00-6:15",24,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"58","Main & W Babcock St (at S 23rd near Albertsons)","2012-09-11",79,"sunny","calm","6:00-6:15",2,"Main & W Babcock St (at S 23rd near Albertsons) bozeman, montana",-111.0652058,45.6768407
"59","Trail crossing & Highland Drive","2012-09-11",79,"sunny","calm","6:00-6:15",4,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
